property_id,city,locality,property_type,bhk,area_sqft,price,price_per_sqft,floor_no,total_floors,age_years,furnishing_status,property_status,facing,bathrooms,balconies,parking,amenities,monthly_rent,listing_date,seller_type,negotiable,is_sold
PROP00001,Delhi,Dwarka,Independent House,2,1899,23600000,12427.59,0,0,5,Furnished,New Launch,South-East,3,0,0,Gym|CCTV|Power Backup|Swimming Pool|Park|Lift|Parking|Security,75013,2021-07-08,Owner,No,1
PROP00002,Bangalore,Koramangala,Row House,2,1572,17600000,11195.93,0,10,2,Furnished,Ready to Move,North-East,3,0,1,Power Backup|Swimming Pool,45519,2022-02-04,Owner,Yes,0
PROP00003,Mumbai,Thane,Apartment,2,1029,19300000,18756.07,7,16,2,Furnished,Ready to Move,North-West,3,2,0,Park|CCTV|Swimming Pool|Power Backup,63614,2022-10-31,Owner,Yes,1
PROP00004,Kolkata,Rajarhat,Row House,3,1904,13700000,7195.38,0,9,1,Unfurnished,Under Construction,North-West,4,0,1,Park|Lift,52419,2020-03-08,Builder,No,1
PROP00005,Ahmedabad,Satellite,Apartment,2,853,6700000,7854.63,8,14,5,Unfurnished,New Launch,North-East,2,2,0,Parking|Power Backup|Gym|Lift|Park,24013,2019-11-24,Agent,No,1
PROP00006,Ahmedabad,Maninagar,Apartment,3,853,9500000,11137.16,21,31,0,Unfurnished,New Launch,North,4,1,2,Swimming Pool|Clubhouse|Security|CCTV|Lift|Gym|Parking,36339,2021-11-05,Owner,Yes,1
PROP00007,Bangalore,Electronic City,Row House,4,1915,31600000,16501.31,0,2,1,Unfurnished,Ready to Move,West,5,0,2,Security|Gym|Swimming Pool|Clubhouse|Power Backup|Park,96867,2023-04-07,Agent,Yes,1
PROP00008,Lucknow,Vikas Nagar,Row House,4,1753,12500000,7130.63,0,1,1,Unfurnished,Ready to Move,North-West,4,1,2,Power Backup|CCTV|Gym|Swimming Pool|Park|Lift|Clubhouse,30505,2022-04-20,Builder,Yes,1
PROP00009,Mumbai,Navi Mumbai,Apartment,3,806,16700000,20719.6,15,15,5,Furnished,Under Construction,North-West,4,3,2,Security|Power Backup|Lift|CCTV|Swimming Pool|Gym|Park|Clubhouse|Parking,62252,2021-08-14,Owner,Yes,1
PROP00010,Pune,Kothrud,Apartment,2,1008,12700000,12599.21,13,19,1,Furnished,Ready to Move,East,3,1,0,CCTV|Swimming Pool|Gym|Park|Clubhouse|Lift|Security|Parking|Power Backup,30829,2021-09-12,Agent,Yes,0
PROP00011,Chennai,Adyar,Apartment,3,807,8500000,10532.84,25,33,5,Unfurnished,Ready to Move,West,3,3,0,Gym|CCTV|Park|Parking|Power Backup,32629,2021-10-26,Owner,Yes,0
